SUBJECT,COURSE_NUMBER,NAME,UNIT_COUNT
ANT,001,Human Evolutionary Biology,4 units
ANT,002,Cultural Anthropology,5 units
ANT,003,Introduction to Archaeology,4 units
ANT,020,Comparative Cultures,4 units
ANT,021,Zombies,2 units
ANT,022,Myths About Human Evolution,2 units
ANT,023,Introduction to World Prehistory,4 units
ANT,024,Ancient Crops & People,4 units
ANT,025,Ancient Animals & People,2 units
ANT,026,Mummies of the Ancient World,2 units
ANT,028,Prehistoric Origins of Art,2 units
ANT,029,Vikings,2 units
ANT,030,Sexualities,4 units
ANT,032,Drugs, Science & Culture,4 units
ANT,034,Cultures of Consumerism,4 units
ANT,036,Star Trek as Social Theory,4 units
ANT,054,Introduction to Primatology,4 units
ANT,092,Internship in Anthropology,1-12 units
ANT,098,Directed Group Study,1-5 units
ANT,099,Special Study for Undergraduates,1-5 units
ANT,101,Ecology, Nature, & Society,4 units
ANT,107,Law, Power, Violence,4 units
ANT,120,Language & Culture,4 units
ANT,122A,Economic Anthropology,4 units
ANT,122B,Capitalism & Power,4 units
ANT,124,Religion in Society & Culture,4 units
ANT,125A,Structuralism & Symbolism,4 units
ANT,125B,Postmodernism(s) & Culture,4 units
ANT,126A,Anthropology of Development,4 units
ANT,126B,Women & Development,4 units
ANT,127,Urban Anthropology,4 units
ANT,128B,Self, Identity, & Family,4 units
ANT,131,Ecology & Politics,4 units
ANT,132,Psychological Anthropology,4 units
ANT,133,Anthropology of Ocean Worlds,4 units
ANT,134,Buddhism in Global Culture,4 units
ANT,135,Media Anthropology,4 units
ANT,136,Ethnographic Film,4 units
ANT,137,Meditation & Culture,4 units
ANT,139AN,Race, Class, Gender Systems,4 units
ANT,139BN,Gender & Sexuality,4 units
ANT,142,Peoples of the Middle East,4 units
ANT,143A,Ethnology of Southeast Asia,4 units
ANT,147,Modern South Asia Cinema,4 units
ANT,151,Primate Evolution,4 units
ANT,152,Human Evolution,5 units
ANT,154A,The Evolution of Primate Behavior,5 units
ANT,154B,Primate Evolutionary Ecology,5 units
ANT,154CL,Laboratory in Primate Behavior,4 units
ANT,155,Primate Conservation Biology,4 units
ANT,156A,Human Osteology,4 units
ANT,156B,Advanced Human Osteology,4 units
ANT,157,Advanced Human Genetics,2 units
ANT,157L,Advanced Human Genetics Lab,4 units
ANT,170,Archeological Theory & Method,4 units
ANT,174,European Prehistory,4 units
ANT,176,California Archaeology,4 units
ANT,177,African Prehistory,4 units
ANT,178,Hunter-Gatherers,4 units
ANT,179,Asian Prehistory,4 units
ANT,180,Zooarchaeology,4 units
ANT,182,Archaeometry,4 units
ANT,185,Lithic Analysis,4 units
ANT,191,Topics in Anthropology,4 units
ANT,192,Internship in Anthropology,1-12 units
ANT,197T,Tutoring in Anthropology,1-5 units
ANT,198,Directed Group Study,1-5 units
ANT,200,History of Anthropology,4 units
ANT,201,Critical Readings in Ethnography,4 units
ANT,203,History & Theory of Archaeology,4 units
ANT,207,Ethnographic Writing,4 units
ANT,210,Aspects of Culture Structure,4 units
ANT,212,Political Ecology,4 units
ANT,216,Problems in Archeological Method,4 units
ANT,218,Topics in New World Prehistory,4 units
ANT,219,Topics in Old World Prehistory,4 units
ANT,220,Field Course in Linguistics,4 units
ANT,222,Cities & Citizenship,4 units
ANT,223,Economic Anthropology,4 units
ANT,224,Problems in Comparative Religion,4 units
ANT,225,State & Nation in the Modern World,4 units
ANT,226,Consciousness & Resistance,4 units
ANT,228,Culture & Power,4 units
ANT,229,Gender, Identity, & Self,4 units
ANT,232,Political Movements,4 units
ANT,241,Topics in North American Ethnology,4 units
ANT,246,Ethnology of Europe,4 units
ANT,248,Topics in Chinese Culture & Society,4 units
ANT,250,Behavioral Ecology of Primates,4 units
ANT,252,Human Evolution Seminar,4 units
ANT,253,Seminar in Human Genomics,3 units
ANT,256,Primate Conservation Biology,4 units
ANT,262,Evolution & Human Behavior,4 units
ANT,265,Language, Performance, & Power,4 units
ANT,270,Anthropology Colloquium Seminar,1 unit
ANT,292,Seminar in Linguistic Anthropology,4 units
ANT,298,Group Study,1-5 units
ANT,299,Research,1-12 units
ANT,299D,Dissertation Research,1-12 units
ANT,390,Teaching Anthropology,4 units
ABT,015,Wood Properties & Fabrication,2 units
ABT,016,Metal Properties & Fabrication,2 units
ABT,017,Plastic Properties & Fabrication,2 units
ABT,049,Field Equipment Operation,2 units
ABT,052,Field Equipment Welding,2 units
ABT,098,Directed Group Study,1-5 units
ABT,101,Engine Technology,3 units
ABT,110L,Experiments in Food Engineering,2 units
ABT,163,Aquaculture Systems Engineering,3 units
ABT,182,Environmental Analysis Using GIS,4 units
ABT,198,Directed Group Study,1-5 units
ABT,212,Path to Zero Net Energy,4 units
ABT,233,Pest Control Practices,3 units
ABT,290C,Graduate Research Conference,1 unit
ABT,298,Group Study,1-5 units
ABT,299,Research,1-12 units
ABT,317,Teaching Agricultural Mechanics,2 units
EAD,290,Seminar,1-2 units
EAD,298,Group Study,1-5 units
EAD,299,Research,1-12 units
ARB,001,Elementary Arabic 1,5 units
ARB,002,Elementary Arabic 2,5 units
ARB,003,Elementary Arabic 3,5 units
ARB,021,Intermediate Arabic 21,4 units
ARB,021C,Colloquial Egyptian Arabic,4 units
ARB,021L,Colloquial Levantine Arabic,4 units
ARB,022,Intermediate Arabic 22,4 units
ARB,022C,Colloquial Egyptian Arabic,4 units
ARB,022L,Colloquial Levantine Arabic,4 units
ARB,023,Intermediate Arabic 23,4 units
ARB,023C,Colloquial Egyptian Arabic,4 units
ARB,023L,Colloquial Levantine Arabic,4 units
ARB,098,Directed Group Study,1-5 units
ARB,099,Special Study for Undergraduates,1-5 units
ARB,101A,Readings in Arabic: 600-1850,4 units
ARB,121,Advanced Arabic,4 units
ARB,122,Advanced Arabic,4 units
ARB,123,Advanced Arabic,4 units
ARB,198,Directed Group Study,1-5 units
ARB,297,Directed Independent Study,4 units
ARB,299,Individual Study,1-12 units
AHI,001A,Ancient Mediterranean Art,4 units
AHI,001B,Medieval & Renaissance Art,4 units
AHI,001C,Baroque to Modern Art,4 units
AHI,001D,Arts of Asia,4 units
AHI,001DY,Arts of Asia,5 units
AHI,001E,Islamic Art & Architecture,4 units
AHI,005,Understanding Visual Culture,4 units
AHI,025,Understanding Architecture,4 units
AHI,098,Directed Group Study,1-5 units
AHI,099,Special Study for Undergraduates,1-5 units
AHI,100,Methods of Art History,4 units
AHI,101,Understanding Museum Practices,4 units
AHI,102,Exhibition Practicum,4 units
AHI,110,Cultural History of Museums,4 units
AHI,120A,Art, Architecture, & Human Rights,4 units
AHI,121,Politics of Public Art,4 units
AHI,122,Sex & Space,4 units
AHI,123,The Museum in the Age of Spectacle,4 units
AHI,130,Landscape, Nature, & Art,4 units
AHI,150,Arts of Subsaharan Africa,4 units
AHI,151,Arts of the Ancient New World,4 units
AHI,152,Arts of Oceania & Prehistoric Europe,4 units
AHI,153,Hindu Gods & Hindu Symbols,4 units
AHI,154,The Hindu Temple,4 units
AHI,155,The Islamic City,4 units
AHI,156,Arts of the Islamic Book,4 units
AHI,157,Buddhist Art,4 units
AHI,158,Popular Religious Art in India,4 units
AHI,163A,Early Chinese Art,4 units
AHI,163B,Chinese Painting,4 units
AHI,163C,Early Modern Chinese Painting,4 units
AHI,163D,Art from China 1900 to the Present,4 units
AHI,164,The Arts of Japan,4 units
AHI,168,Great Cities,4 units
AHI,172A,Early Greek Art & Architecture,4 units
AHI,172B,Later Greek Art & Architecture,4 units
AHI,173,Roman Art & Architecture,4 units
AHI,176C,Art of the Middle Ages: Gothic,4 units
AHI,177,Northern Renaissance Art,4 units
AHI,179B,Baroque Art,4 units
AHI,180,Arts of the Rococo,4 units
AHI,181,Latin American Art & Architecture,4 units
AHI,182,British Art & Culture,1750-1900) (4 units
AHI,183C,Modernism in France, 1880-1940,4 units
AHI,184,20th-Century Architecture,4 units
AHI,186,Contemporary Art 1960-Present,4 units
AHI,187,Contemporary Architecture,4 units
AHI,188A,The American Home,4 units
AHI,188B,Architecture of the United States,4 units
AHI,188C,American Art to 1910,4 units
AHI,189,Photography in History,4 units
AHI,192,Internship,1-6 units
AHI,194HA,Honors Thesis Research,4 units
AHI,194HB,Honors Thesis Writing,4 units
AHI,198,Directed Group Study,1-5 units
AHI,200C,Thesis Writing Colloquium,1 unit
AHI,210,Museums, Art Exhibitions & Culture,4 units
AHI,250,Problems in Art Historical Research,4 units
AHI,254,Seminar in Classical Art,4 units
AHI,263,Seminar in Chinese Art,4 units
AHI,276,Seminar in Medieval Art,4 units
AHI,278,Seminar in Italian Renaissance Art,4 units
AHI,283,Seminar in Visual Culture & Gender,4 units
AHI,290,Special topics in Art History,4 units
AHI,292,Internship,1-4 units
AHI,298,Directed Group Study,1-5 units
AHI,299,Individual Study,1-12 units
ART,001,Introduction to Studio Art Practice,4 units
ART,002,Beginning Drawing,5 units
ART,005,Beginning Sculpture,5 units
ART,007,Beginning Painting,5 units
ART,008,Beginning Ceramic Sculpture,5 units
ART,009,Beginning Photography,5 units
ART,010D,Contemporary Art Appreciation,4 units
ART,010F,Contemporary Art Appreciation,4 units
ART,011,Beginning Printmaking,5 units
ART,012,Beginning Video,5 units
ART,098,Directed Group Study,1-5 units
ART,099,Special Study for Undergraduates,1-5 units
ART,101A,Intermediate Painting,5 units
ART,101B,Intermediate Painting: Figure,5 units
ART,101C,Intermediate Painting: Watercolor,5 units
ART,101D,Intermediate Painting: Installation,5 units
ART,102C,Advanced Painting: Special Topics,4 units
ART,103AN,Intermediate Drawing,5 units
ART,103BN,Intermediate Drawing: Figure,5 units
ART,110DA,The Photobook,5 units
ART,110DB,The Photobook,5 units
ART,112,Sound for Vision,5 units
ART,113,Interdisciplinary Art,4 units
ART,114A,Intermediate Video: Animation,5 units
ART,117,Advanced Video & Electronic Arts,5 units
ART,125A,Intermediate Printmaking: Relief,5 units
ART,125B,Intermediate Printmaking: Intaglio,5 units
ART,129,Advanced Printmaking,5 units
ART,138,The Artist's Book,4 units
ART,147,Theory & Criticism of Photography,4 units
ART,149,Introduction to Critical Theory,4 units
ART,151,Intermediate Sculpture,5 units
ART,152C,Advanced Sculpture: Concepts,5 units
ART,152D,Advanced Sculpture: Metals,5 units
ART,152F,Advanced Sculpture: Figure,5 units
ART,171,Mexican & Chicano Mural Workshop,4 units
ART,190,Seminar in Art Practice,4 units
ART,192,Internship,2-12 units
ART,195,Expanded Field: Artist Lecture Series,1 unit
ART,198,Directed Group Study,1-5 units
ART,220,Research Methods for Artists,4 units
ART,223,Concepts & Critique,4 units
ART,227,Collaboration & Interdisciplinarity,4 units
ART,290,Seminar,4 units
ART,290C,Critical Discourse in Materiality,4 units
ART,290D,Critical Discourse in Context,4 units
ART,290E,Critical Discourse on Media,4 units
ART,290F,Critical Discourse in Presentation,4 units
ART,291,Seminar: Critical Evaluation,1 unit
ART,292,Seminar: Comprehensive Qualifying,1 unit
ART,299,Individual Study,1-12 units
ART,299D,Comprehensive Project,1-12 units
ASA,003,Methods in Asian American Studies,4 units
ASA,004,Asian American Cultural Studies,4 units
ASA,092,Internship,1-3 units
ASA,098,Directed Group Study,1-5 units
ASA,098F,Student Facilitated Course,1-4 units
ASA,099,Special Study for Undergraduates,1-5 units
ASA,100,Asian American Communities,4 units
ASA,112,Asian American Women,4 units
ASA,113,Asian American Sexuality,4 units
ASA,114,Asian Diasporas,4 units
ASA,116,Asian American Youth,4 units
ASA,121,Asian American Performance,4 units
ASA,130,Asian American Literature,4 units
ASA,131,Ethnicity, Culture, & the Self,4 units
ASA,150,Filipino American Experience,4 units
ASA,150B,Japanese American Experience,4 units
ASA,150C,Chinese American Experience,4 units
ASA,150D,Korean American Experience,4 units
ASA,155,Asian American Legal History,4 units
ASA,192,Internships,1-5 units
ASA,198,Directed Group Study,1-5 units
ASA,198F,Student Facilitated Course,1-4 units
ASA,199FB,Student Facilitated Teaching,1-4 units
AST,010C,Introduction to Cosmology,3 units
AST,010L,Observational Astronomy Lab,1 unit
AST,010S,Astronomy of the Solar System,3 units
ATM,005,Global Climate Change,3 units
ATM,010,Severe & Unusual Weather,3 units
ATM,092,Atmospheric Science Internship,1-12 units
ATM,098,Directed Group Study,1-5 units
ATM,099,Special Study for Undergraduates,1-5 units
ATM,110,Weather Observation & Analysis,4 units
ATM,111,Weather Analysis & Prediction,3 units
ATM,112,Weather Forecasting Practice,2 units
ATM,115,Hydroclimatology,3 units
ATM,116,Modern Climate Change,3 units
ATM,121A,Atmospheric Dynamics,4 units
ATM,121B,Atmospheric Dynamics,4 units
ATM,128,Radiation & Satellite Meteorology,4 units
ATM,133,Biometeorology,4 units
ATM,149,Air Pollution,4 units
ATM,158,Boundary-Layer Meteorology,4 units
ATM,192,Atmospheric Science Internship,1-12 units
ATM,198,Directed Group Study,1-5 units
ATM,215,Advanced Hydroclimatology,3 units
ATM,221,Advanced Atmospheric Dynamics,3 units
ATM,230,Atmospheric Turbulence,3 units
ATM,233,Advanced Biometeorology,3 units
ATM,241,Climate Dynamics,3 units
ATM,244,Cloud & Precipitation Physics,3 units
ATM,245,Climate Change, Water & Society,4 units
ATM,250,Meso-Scale Meteorology,3 units
ATM,260,Atmospheric Chemistry,3 units
ATM,265,The Art of Climate Modeling,4 units
ATM,290,Seminar,1 unit
ATM,298,Group Study,1-5 units
ATM,299,Research,1-12 units
AVS,011,Introduction to Poultry Science,3 units
AVS,013,Birds, Humans & the Environment,3 units
AVS,014L,Management of Captive Birds,2 units
AVS,015L,Captive Raptor Management,2 units
AVS,092,Internship in the Avian Sciences,1-12 units
AVS,098,Directed Group Study,1-5 units
AVS,099,Special Study for Undergraduates,1-5 units
AVS,100,Avian Biology,3 units
AVS,103,Avian Development & Genomics,3 units
AVS,115,Raptor Biology,3 units
AVS,121,Avian Reproduction,2 units
AVS,123,Management of Birds,3 units
AVS,149,Egg Production Management,2 units
AVS,150,Nutrition of Birds,1 unit
AVS,170,Advanced Avian Biology,4 units
AVS,190,Seminar in Avian Sciences,1 unit
AVS,192,Internship in Avian Sciences,1-12 units
AVS,195,Topics in Current Research,1-3 units
AVS,197T,Tutoring in Avian Sciences,1-3 units
AVS,198,Directed Group Study,1-5 units
AVS,290,Seminar,1 unit
AVS,290C,Research Conference,1 unit
AVS,298,Group Study,1-5 units
AVS,299,Research,1-12 units
BCB,210,Molecular Genetics & Genomics,3 units
BCB,212,Cell Biology,3 units
BCB,213,Developmental Biology,3 units
BCB,214,Molecular Biology,3 units
BCB,215,Graduate Reading Course,2 units
BCB,256,Cell & Molecular Biology of Cancer,3 units
BCB,257,Cell Proliferation & Cancer Genes,3 units
